@RELATION offres_emploi_maroc

@ATTRIBUTE desc_length NUMERIC
@ATTRIBUTE word_count NUMERIC
@ATTRIBUTE is_remote {0,1}
@ATTRIBUTE has_education {0,1}
@ATTRIBUTE has_experience {0,1}
@ATTRIBUTE location {casablanca,rabat,marrakech,tanger,agadir,fes,mohammedia,sale,kenitra,autre}
@ATTRIBUTE category {IT_DEVELOPPEMENT,JURIDIQUE_DROIT,SANTE_MEDICAL,ENERGIE_ENVIRONNEMENT,TELECOM_RESEAUX,BATIMENT_CONSTRUCTION,ADMIN_SYSTEME_CLOUD,EDUCATION_FORMATION,COMMERCIAL_VENTE,MARKETING_COM,RESSOURCES_HUMAINES,COMPTABILITE_FINANCE,LOGISTIQUE_TRANSPORT,PRODUCTION_INDUSTRIE,ADMINISTRATIF_SUPPORT,MANAGEMENT_DIRECTION,DATA_IA,INGENIERIE,SPECIAL_AUTRES,AUTRE_SECTEUR}

@DATA
477,63,0,0,1,casablanca,IT_DEVELOPPEMENT
393,56,0,1,0,autre,COMMERCIAL_VENTE
361,50,0,1,1,casablanca,IT_DEVELOPPEMENT
342,51,0,1,1,tanger,SPECIAL_AUTRES
367,55,0,1,1,casablanca,SPECIAL_AUTRES
354,48,0,1,0,casablanca,INGENIERIE
365,54,0,1,0,autre,MANAGEMENT_DIRECTION
412,56,0,0,0,casablanca,SPECIAL_AUTRES
411,61,0,1,0,autre,MANAGEMENT_DIRECTION
419,62,0,1,0,casablanca,COMMERCIAL_VENTE
413,61,0,1,0,casablanca,DATA_IA
327,45,0,1,1,marrakech,LOGISTIQUE_TRANSPORT
352,47,0,1,0,casablanca,ADMINISTRATIF_SUPPORT
357,45,0,1,0,casablanca,INGENIERIE
365,54,0,1,0,casablanca,RESSOURCES_HUMAINES
426,60,0,1,0,kenitra,SPECIAL_AUTRES
312,46,0,1,0,mohammedia,SPECIAL_AUTRES
340,48,0,0,0,casablanca,DATA_IA
351,47,0,0,0,rabat,SPECIAL_AUTRES
407,53,0,0,1,rabat,SPECIAL_AUTRES
408,52,0,1,0,rabat,SPECIAL_AUTRES
392,47,0,0,0,rabat,SPECIAL_AUTRES
342,48,0,1,1,casablanca,SPECIAL_AUTRES
418,55,0,1,1,casablanca,ADMINISTRATIF_SUPPORT
378,53,0,1,0,autre,SPECIAL_AUTRES
413,55,0,1,0,kenitra,SPECIAL_AUTRES
389,51,0,1,0,rabat,DATA_IA
